,Symbol
0,[_]
1,[#C]
2,[#N+expl]
3,[#N]
4,[/Br]
5,[/C@@Hexpl]
6,[/C@@expl]
7,[/C@Hexpl]
8,[/C@expl]
9,[/C]
10,[/Cl]
11,[/F]
12,[/N+expl]
13,[/N-expl]
14,[/NH+expl]
15,[/NH-expl]
16,[/NH2+expl]
17,[/NHexpl]
18,[/N]
19,[/O+expl]
20,[/O-expl]
21,[/O]
22,[/S-expl]
23,[/S@expl]
24,[/S]
25,[=C]
26,[=N+expl]
27,[=N-expl]
28,[=NH+expl]
29,[=NH2+expl]
30,[=N]
31,[=O+expl]
32,[=OH+expl]
33,[=O]
34,[=P@@expl]
35,[=P@expl]
36,[=PH2expl]
37,[=P]
38,[=S+expl]
39,[=S@@expl]
40,[=S@expl]
41,[=SH+expl]
42,[=S]
43,[Br]
44,[Branch1_1]
45,[Branch1_2]
46,[Branch1_3]
47,[Branch2_1]
48,[Branch2_2]
49,[Branch2_3]
50,[C@@Hexpl]
51,[C@@expl]
52,[C@Hexpl]
53,[C@expl]
54,[CH-expl]
55,[CH2-expl]
56,[C]
57,[Cl]
58,[Expl/Ring1]
59,[Expl/Ring2]
60,[Expl=Ring1]
61,[Expl=Ring2]
62,[Expl\Ring1]
63,[F]
64,[I]
65,[N+expl]
66,[N-expl]
67,[NH+expl]
68,[NH-expl]
69,[NH2+expl]
70,[NH3+expl]
71,[NHexpl]
72,[N]
73,[O-expl]
74,[O]
75,[P+expl]
76,[P@@Hexpl]
77,[P@@expl]
78,[P@expl]
79,[PH+expl]
80,[PHexpl]
81,[P]
82,[Ring1]
83,[Ring2]
84,[S+expl]
85,[S-expl]
86,[S@@+expl]
87,[S@@expl]
88,[S@expl]
89,[S]
90,[\Br]
91,[\C@@Hexpl]
92,[\C@Hexpl]
93,[\C]
94,[\Cl]
95,[\F]
96,[\I]
97,[\N+expl]
98,[\N-expl]
99,[\NH+expl]
100,[\NH2+expl]
101,[\NHexpl]
102,[\N]
103,[\O-expl]
104,[\O]
105,[\S-expl]
106,[\S@expl]
107,[\S]
108,[Unknown]
