,Symbol
0,[_]
1,[#13Cexpl]
2,[#14Cexpl]
3,[#15Nexpl]
4,[#Br]
5,[#C+expl]
6,[#C-expl]
7,[#C]
8,[#Cl]
9,[#I]
10,[#N+expl]
11,[#NH+expl]
12,[#N]
13,[#O+expl]
14,[#P]
15,[#S-expl]
16,[#SHexpl]
17,[#S]
18,[#SiHexpl]
19,[#Teexpl]
20,[/11CHexpl]
21,[/B-expl]
22,[/B]
23,[/Br-expl]
24,[/Br]
25,[/C-expl]
26,[/C@@Hexpl]
27,[/C@@expl]
28,[/C@Hexpl]
29,[/C@expl]
30,[/CH+expl]
31,[/CH-expl]
32,[/CH2+expl]
33,[/CH2-expl]
34,[/C]
35,[/Cexpl]
36,[/Cl-expl]
37,[/Cl]
38,[/F]
39,[/IH2expl]
40,[/I]
41,[/N+expl]
42,[/N-expl]
43,[/NH+expl]
44,[/NH2+expl]
45,[/NH3+expl]
46,[/NHexpl]
47,[/N]
48,[/O-expl]
49,[/O]
50,[/P+expl]
51,[/P-expl]
52,[/P]
53,[/S-expl]
54,[/S@@expl]
55,[/S@expl]
56,[/SHexpl]
57,[/S]
58,[/Seexpl]
59,[/SiH2expl]
60,[/SiH3expl]
61,[/SiHexpl]
62,[/Siexpl]
63,[/Snexpl]
64,[/Teexpl]
65,[11CH2expl]
66,[11CH3expl]
67,[11CH4expl]
68,[11CHexpl]
69,[11Cexpl]
70,[123Iexpl]
71,[125Iexpl]
72,[12CH2expl]
73,[12CHexpl]
74,[12Cexpl]
75,[131Iexpl]
76,[13C@Hexpl]
77,[13CH2expl]
78,[13CH3expl]
79,[13CH4expl]
80,[13CHexpl]
81,[13Cexpl]
82,[14C@@Hexpl]
83,[14C@Hexpl]
84,[14CH2expl]
85,[14CH3expl]
86,[14CH4expl]
87,[14CHexpl]
88,[14Cexpl]
89,[14NHexpl]
90,[14Nexpl]
91,[15N+expl]
92,[15NH2expl]
93,[15NHexpl]
94,[15Nexpl]
95,[18Fexpl]
96,[18OH2expl]
97,[18OHexpl]
98,[18Oexpl]
99,[1Hexpl]
100,[2Hexpl]
101,[35Sexpl]
102,[3Hexpl]
103,[77Brexpl]
104,[999CH2expl]
105,[999CHexpl]
106,[999Cexpl]
107,[999Fexpl]
108,[999Iexpl]
109,[=11CHexpl]
110,[=11Cexpl]
111,[=12CHexpl]
112,[=12Cexpl]
113,[=13CH2expl]
114,[=13CHexpl]
115,[=13Cexpl]
116,[=14CHexpl]
